Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BIAS_6_L1,BIAS_24_L1,RDP_L1,RDP_L2,RDP_L3
2018/3/23,2588.26001,3815080000,2674.747949,2723.946008,2817.069225,2630.822792,4.929989582,2699.303247,2715.94258,-16.63933252,-2.172930923,-14.4664016,-2.096688071,-3.697128545,-5.007610366,-4.942066143,0.333333333,0.416666667,100,0,0,-5.080681993,-55.42993164,2643.689941,-2.595547144,-3.119739888,-2.516288841,-0.184398988,0.148180545
2018/3/26,2658.550049,3511100000,2663.873975,2717.893506,2811.495071,2624.291941,30.69647828,2693.033524,2711.691281,-18.65775676,-5.469896089,-13.18786067,2.715725576,-0.505164908,-2.187298273,-2.2742499,0.333333333,0.458333333,64.5554847,42.92521469,14.3084049,-2.936137407,70.29003906,2588.26001,-3.697128545,-4.942066143,-2.096688071,-2.516288841,-0.184398988
2018/3/27,2612.620117,3706350000,2643.01001,2711.31051,2814.582758,2608.038262,29.85299772,2680.662231,2704.352676,-23.69044543,-9.114005957,-14.57643947,-1.727630881,-1.608520262,-3.361742905,-3.831926051,0.25,0.458333333,87.71615137,14.87640148,19.26720539,-6.242439519,-45.92993164,2658.550049,-0.505164908,-2.2742499,2.715725576,-2.096688071,-2.516288841
2018/3/28,2605,3864500000,2621.624023,2705.869006,2819.031865,2592.706147,27.83543229,2669.021888,2696.993219,-27.97133113,-12.88547099,-15.08586014,-0.291665717,-1.201323942,-3.11194766,-3.96665985,0.25,0.416666667,91.55867819,10.2228948,22.67483699,-6.396648902,-7.620117188,2612.620117,-1.608520262,-3.831926051,-1.727630881,2.715725576,-2.096688071
2018/3/29,2640.870117,3565990000,2621.060059,2704.029016,2820.124769,2587.933263,37.46210343,2664.690846,2692.835952,-28.14510596,-15.93739799,-12.20770797,1.376971869,0.611026277,-1.397524207,-2.484889254,0.333333333,0.416666667,72.98721258,40.88446951,21.9945886,-4.500035756,35.87011719,2605,-1.201323942,-3.96665985,-0.291665717,-1.727630881,2.715725576
2018/4/2,2581.879883,3598520000,2619.784033,2698.56051,2826.271227,2570.849794,38.7261564,2651.950698,2684.616984,-32.66628606,-19.2831756,-13.38311046,-2.233742356,-1.248796002,-3.094712268,-4.372222203,0.333333333,0.375,100,0,17.0357881,-6.095701691,-58.99023438,2640.870117,0.611026277,-2.484889254,1.376971869,-0.291665717,-1.727630881
2018/4/3,2614.449951,3392810000,2610.964014,2693.236011,2825.566564,2560.905457,55.21150326,2646.181352,2679.419426,-33.23807373,-22.07415523,-11.1639185,1.261486585,-0.169730681,-1.462730317,-2.971483795,0.416666667,0.416666667,80.85579025,25.04425692,21.97624215,-4.836700476,32.57006836,2581.879883,-1.248796002,-4.372222203,-2.233742356,1.376971869,-0.291665717
2018/4/4,2644.689941,3350340000,2617.377979,2689.064502,2821.992052,2556.136952,46.7190424,2645.951904,2676.846872,-30.89496713,-23.83831761,-7.056649526,1.156648274,1.074107654,0.014116729,-1.744155043,0.416666667,0.458333333,63.08116633,81.92242414,35.65556036,-3.899697602,30.23999023,2614.449951,-0.169730681,-2.971483795,1.261486585,-2.233742356,1.376971869
2018/4/5,2662.840088,3178970000,2628.945996,2685.866504,2818.084409,2553.648599,63.68834121,2648.550086,2675.809332,-27.25924553,-24.52250319,-2.736742337,0.686286366,1.443266311,0.85967897,-1.047122301,0.5,0.5,52.41277572,100,68.98889369,-1.845975385,18.15014648,2644.689941,1.074107654,-1.744155043,1.156648274,1.261486585,-2.233742356
2018/4/6,2604.469971,3299700000,2621.665967,2679.141504,2813.535534,2544.747474,49.88683809,2641.76853,2670.524935,-28.75640467,-25.36928349,-3.387121181,-2.192024878,-0.777056151,-0.999739783,-3.085973746,0.416666667,0.458333333,83.27404258,27.90270586,69.94171,-4.139582513,-58.37011719,2662.840088,1.443266311,-1.047122301,0.686286366,1.156648274,1.261486585
