round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm3_nodes,lstm_layers,optimizer
50,0.001031441,0,0.002605198,0.004975124,64,50,0.001,30,50,70,1,Adam
50,6.35E-05,0,0.000815503,0.004975124,64,50,0.001,30,50,70,2,Adam
50,0.000863225,0,0.002463554,0.004975124,64,50,0.001,30,70,30,1,Adam
50,0.000166498,0,0.001037598,0.004975124,64,50,0.001,30,70,30,2,Adam
50,0.000451715,0,0.001847228,0.004975124,64,50,0.001,30,70,50,1,Adam
50,5.61E-05,0,0.000731392,0.004975124,64,50,0.001,30,70,50,2,Adam
50,0.000172542,0,0.001637283,0.004975124,64,50,0.001,30,70,70,1,Adam
50,1.72E-05,0,0.000536751,0.004975124,64,50,0.001,30,70,70,2,Adam
50,0.000638655,0,0.001968458,0.004975124,64,50,0.001,50,30,30,1,Adam
50,4.33E-05,0,0.001216204,0.004975124,64,50,0.001,50,30,30,2,Adam
50,0.000286389,0,0.00114962,0.004975124,64,50,0.001,50,30,50,1,Adam
50,3.10E-05,0,0.000859499,0.004975124,64,50,0.001,50,30,50,2,Adam
50,0.000255022,0,0.000772325,0.004975124,64,50,0.001,50,30,70,1,Adam
50,0.000166702,0,0.000626871,0.004975124,64,50,0.001,50,30,70,2,Adam
50,0.000707761,0,0.001694423,0.004975124,64,50,0.001,50,50,30,1,Adam
50,0.000130252,0,0.000982067,0.004975124,64,50,0.001,50,50,30,2,Adam
50,0.001277209,0,0.001517301,0.004975124,64,50,0.001,50,50,50,1,Adam
50,3.16E-05,0,0.000514444,0.004975124,64,50,0.001,50,50,50,2,Adam
50,0.000113382,0,0.001019025,0.004975124,64,50,0.001,50,50,70,1,Adam
50,2.08E-05,0,0.000636833,0.004975124,64,50,0.001,50,50,70,2,Adam
50,0.000502381,0,0.00174187,0.004975124,64,50,0.001,50,70,30,1,Adam
50,4.93E-05,0,0.000793525,0.004975124,64,50,0.001,50,70,30,2,Adam
50,0.000163543,0,0.001320855,0.004975124,64,50,0.001,50,70,50,1,Adam
50,2.12E-05,0,0.000636521,0.004975124,64,50,0.001,50,70,50,2,Adam
50,3.68E-05,0,0.000645773,0.004975124,64,50,0.001,50,70,70,1,Adam
50,8.59E-05,0,0.000438735,0.004975124,64,50,0.001,50,70,70,2,Adam
50,0.000256222,0,0.001417142,0.004975124,64,50,0.001,70,30,30,1,Adam
50,1.75E-05,0,0.001001336,0.004975124,64,50,0.001,70,30,30,2,Adam
50,3.76E-05,0,0.000943138,0.004975124,64,50,0.001,70,30,50,1,Adam
50,2.64E-05,0,0.001016154,0.004975124,64,50,0.001,70,30,50,2,Adam
50,7.35E-06,0,0.000655991,0.004975124,64,50,0.001,70,30,70,1,Adam
