Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BIAS_24_L1
2016/9/14,16614.24023,116300000,16788.1457,16745.84438,17162.73086,16328.95791,10.62520757,16797.61401,16722.09405,75.51995925,112.6240911,-37.10413186,-0.686224879,-1.255757088,-1.563743527,-0.822476089,0.5,0.5,64.84948841,0,4.573010121,-0.736370855,-114.7988281,16729.03906,-0.167208138
2016/9/15,16405.00977,117800000,16677.39375,16741.79438,17170.11618,16313.47259,8.602127637,16737.21336,16698.60633,38.60703078,97.82067905,-59.21364826,-1.259344188,-1.90907927,-2.649417711,-1.94588295,0.5,0.458333333,100,0,4.573010121,-1.915352622,-209.2304688,16614.24023,-0.822476089
2016/9/16,16519.28906,127100000,16588.09961,16740.46782,17171.36581,16309.56983,22.33389072,16703.68655,16685.32357,18.36297625,81.92913849,-63.56616224,0.696612184,-0.791265187,-1.792487549,-1.176619012,0.5,0.5,83.11901884,16.88098116,5.626993721,-2.179798664,114.2792969,16405.00977,-1.94588295
2016/9/20,16492.15039,121500000,16551.9457,16735.16587,17175.44342,16294.88832,20.92302674,16671.14252,16671.01444,0.128076784,65.56892615,-65.44084936,-0.164284745,-0.482483471,-1.742226306,-1.313299489,0.416666667,0.5,87.12785877,14.3457962,10.40892579,-2.568048479,-27.13867188,16519.28906,-1.176619012
2016/9/21,16807.61914,191100000,16567.66172,16750.67886,17178.02089,16323.33682,58.04621035,16692.13892,16681.13331,11.00561336,54.65626359,-43.65065023,1.912841822,1.283922107,0.196019975,0.558881681,0.5,0.5,40.52779934,71.79837272,34.34171669,-0.697523225,315.46875,16492.15039,-1.313299489
2016/9/23,16754.01953,138000000,16595.61758,16758.51479,17180.0274,16337.00219,51.49670468,16701.65902,16686.53229,15.12672745,46.75035636,-31.62362891,-0.318900666,0.935603254,0.017410817,0.17127244,0.416666667,0.5,48.44536639,62.23981554,49.46132815,-1.664617167,-53.59960938,16807.61914,0.558881681
2016/9/26,16544.56055,102900000,16623.52773,16757.94536,17180.58031,16335.31041,46.25045718,16677.49002,16676.01586,1.474157363,37.69511656,-36.2209592,-1.250201386,-0.256509609,-0.968241396,-1.080759752,0.333333333,0.458333333,79.38599402,34.66158264,56.23325697,-3.146121861,-209.4589844,16754.01953,0.17127244
2016/9/27,16683.92969,157100000,16656.45586,16774.10635,17157.65825,16390.55445,66.2292116,16678.48074,16676.60207,1.878666009,30.53182645,-28.65316044,0.842386476,0.30261024,0.02990278,-0.268779926,0.416666667,0.458333333,58.79881942,69.27804944,55.39314921,-1.930997412,139.3691406,16544.56055,-1.080759752
2016/9/28,16465.40039,112200000,16651.10586,16760.50186,17166.90493,16354.09878,47.20368099,16645.69915,16660.9575,-15.25835706,21.37378975,-36.63214681,-1.309819095,-0.9576938,-1.036359632,-1.567243217,0.416666667,0.458333333,90.05800568,14.99980595,39.64647935,-2.909227227,-218.5292969,16683.92969,-0.268779926
2016/9/29,16693.71094,122700000,16628.32422,16758.91943,17166.10323,16351.73563,58.65262558,16653.08558,16663.38369,-10.29810807,15.03941018,-25.33751826,1.386607926,0.213133577,0.47278245,-0.226327254,0.416666667,0.458333333,48.5151722,71.70751349,51.99512296,-1.603516918,228.3105469,16465.40039,-1.567243217
2016/9/30,16449.83984,124400000,16567.48828,16737.04141,17160.93835,16313.14446,33.63522826,16621.817,16647.56562,-25.7486201,6.881804128,-32.63042422,-1.460856095,-0.896082723,-0.884083652,-1.657890694,0.416666667,0.458333333,92.00533605,0,28.90243981,-1.337978466,-243.8710938,16693.71094,-0.226327254
