Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BBands_up_L1,BIAS_24_L1
2018/4/24,30636.24023,1741299100,30460.33203,30374.21094,31093.07252,29655.34935,59.24379826,30467.70114,30571.82192,-104.1207854,-136.0090576,31.88827221,1.262096881,0.796773476,0.398494887,0.305072984,0.5,0.541666667,18.96059678,74.62177912,46.72047608,2.651373384,381.8398438,30254.40039,31169.42199,-1.061944135
2018/4/25,30328.15039,1674472500,30469.11211,30375.154,31093.72186,29656.58615,57.41483458,30446.23179,30553.77218,-107.5403877,-130.3153236,22.77493589,-1.005638555,-0.361884076,-0.63789823,-0.542771242,0.416666667,0.5,54.10106137,35.59407276,44.38968942,0.326072384,-308.0898438,30636.24023,31093.07252,0.305072984
2018/4/26,30007.67969,1765452500,30328.96016,30348.09951,31079.12002,29617.079,42.67801336,30378.76224,30513.32088,-134.5586464,-131.1639882,-3.394658197,-1.056677374,-1.265215856,-1.493912488,-1.385900146,0.333333333,0.458333333,100,0,36.73861729,-2.346534682,-320.4707031,30328.15039,31093.72186,-0.542771242
2018/4/27,30280.66992,1610929100,30301.42813,30322.5915,31025.08395,29620.09906,37.68958726,30363.67111,30496.08748,-132.4163671,-131.414464,-1.001903142,0.909734565,-0.132719828,-0.429697373,-0.334035341,0.333333333,0.5,69.32801692,38.95632252,24.85013176,-1.997044431,272.9902344,30007.67969,31079.12002,-1.385900146
2018/4/30,30808.44922,1923280800,30412.23789,30361.8875,31080.58285,29643.19215,59.87593585,30432.09851,30519.22538,-87.12687259,-122.5569457,35.43007311,1.742957795,1.390503945,1.312108973,1.439632501,0.416666667,0.541666667,10.02905446,100,46.31877417,-0.07404843,527.7792969,30280.66992,31025.08395,-0.334035341
2018/5/2,30723.88086,1643135500,30429.76602,30393.4125,31117.52325,29669.30175,62.3825233,30476.9881,30534.38505,-57.39694545,-109.5249456,52.12800019,-0.274497294,0.852484747,1.057411015,1.103677311,0.416666667,0.541666667,13.0401273,89.43911374,76.13181209,-0.274276017,-84.56835938,30808.44922,31080.58285,1.439632501
2018/5/3,30313.36914,1736327100,30426.80977,30400.07598,31118.64378,29681.50818,41.61116738,30451.81596,30518.0135,-66.19754483,-100.8594655,34.66192065,-1.336132374,-0.318961614,-0.292242852,-0.214994517,0.416666667,0.5,61.82553891,38.17446109,75.87119161,-0.007325284,-410.5117188,30723.88086,31117.52325,1.103677311
2018/5/4,29926.5,1754754700,30410.57383,30420.4665,31056.20465,29784.72836,39.9747278,30370.99812,30474.19769,-103.1995693,-101.3274862,-1.87208305,-1.276232737,-1.374020261,-1.527970025,-1.371559973,0.416666667,0.458333333,100,0,42.53785828,-0.453218684,-386.8691406,30313.36914,31118.64378,-0.214994517
2018/5/7,29994.25977,1441380300,30353.2918,30427.93252,31039.50769,29816.35735,49.61667848,30313.03837,30438.64673,-125.6083585,-106.1836607,-19.42469781,0.226420616,-1.143423862,-1.22646746,-1.144407294,0.416666667,0.5,92.31704454,7.682955456,15.28580552,-0.957561222,67.75976563,29926.5,31056.20465,-1.371559973
2018/5/8,30402.81055,1623605700,30272.16406,30436.59404,31041.55816,29831.62993,53.23801949,30326.84947,30435.9922,-109.1427224,-106.775473,-2.367249356,1.362096563,0.135914115,0.202965395,0.159540891,0.416666667,0.5,45.9934272,54.0065728,20.56317609,-0.995260299,408.5507813,29994.25977,31039.50769,-1.144407294
2018/5/9,30536.14063,1360669300,30234.61602,30426.96406,31019.0136,29834.91452,40.87186753,30359.04811,30443.4106,-84.3624859,-102.2928756,17.93038971,0.438545239,0.725621146,0.609846287,0.549644344,0.5,0.5,30.8757679,69.1242321,43.60458679,0.387301165,133.3300781,30402.81055,31041.55816,0.159540891
2018/5/10,30809.2207,1534597300,30333.78633,30422.53955,31001.63182,29843.44728,52.53972277,30428.30543,30470.50764,-42.20220908,-90.2747423,48.07253323,0.894284846,1.578737836,1.355186274,1.269535409,0.583333333,0.541666667,0,100,74.37693497,1.83384997,273.0800781,30536.14063,31019.0136,0.549644344
2018/5/11,31122.06055,1627487900,30572.89844,30437.07861,31068.70715,29805.45007,75.5522066,30535.03699,30518.77082,16.26616867,-68.96656011,85.23272878,1.015409792,2.156217353,2.248176155,2.119217695,0.583333333,0.541666667,0,100,89.70807737,1.585770019,312.8398438,30809.2207,31001.63182,1.269535409
2018/5/14,31541.08008,1794416600,30882.2625,30473.71357,31254.59571,29692.83144,100,30689.81285,30594.49743,95.31541676,-36.11016474,131.4255815,1.346374642,2.625142041,3.281842209,3.308885334,0.666666667,0.541666667,0,100,100,3.999352654,419.0195313,31122.06055,31068.70715,2.119217695
